verdict,strategy,timeframe,regime,session,n_trades,avg_r,win_rate,expectancy_R,pct_of_fires,low_confidence
KEEP,inside_bar,15m,trend,asia,1713,-0.118900059272584,0.23525977816695856,-0.027972401568506337,0.025747395950759797,False
KEEP,inside_bar,4h,trend,asia,524,-0.1234690519041657,0.24045801526717558,-0.02968912316779557,0.00787602771640288,False
KEEP,inside_bar,15m,trend,ny,1555,-0.14261229120897315,0.2379421221864952,-0.03393347122014152,0.023372563166042897,False
KEEP,inside_bar,4h,range,asia,293,-0.14555913363809944,0.23890784982935154,-0.03477521964050157,0.004403962062797794,False
KEEP,inside_bar,15m,unknown,london,282,-0.17410380650814825,0.2198581560283688,-0.03827814185640139,0.004238625603102313,False
KEEP,inside_bar,1h,unknown,off,11,-0.14090909090908996,0.2727272727272727,-0.03842975206611544,0.0001653364596954803,True
KEEP,inside_bar,15m,trend,london,951,-0.1756590565237948,0.22923238696109358,-0.040266744818283136,0.014294088470036524,False
KEEP,inside_bar,1h,trend,ny,1208,-0.22798754626075352,0.23841059602649006,-0.054354646790643224,0.018156949392012747,False
KEEP,inside_bar,15m,unknown,off,71,-0.796478064949064,0.07042253521126761,-0.05609000457387775,0.0010671716943981002,False
KEEP,inside_bar,15m,unknown,asia,481,-0.2974031188656384,0.1891891891891892,-0.05626545492052619,0.007229712464866003,False
KEEP,inside_bar,4h,unknown,london,35,-0.7500260589961167,0.08571428571428572,-0.06428794791395287,0.0005260705535765283,False
KEEP,inside_bar,1h,unknown,ny,179,-0.7204166478580483,0.09497206703910614,-0.06841945817646268,0.0026904751168628158,False
KEEP,inside_bar,15m,trend,off,399,-0.4046413077400599,0.17293233082706766,-0.06997556449640133,0.005997204310772422,False
KEEP,inside_bar,1h,unknown,asia,88,-0.53861469254132,0.14772727272727273,-0.07956807957996773,0.0013226916775638425,False
KEEP,liquidity_sweep,1h,unknown,london,8,2.55,0.75,1.9124999999999999,0.0002146786528914531,True
KEEP,liquidity_sweep,1h,unknown,off,1,1.8000000000000018,1.0,1.8000000000000018,2.683483161143164e-05,True
KEEP,liquidity_sweep,1h,unknown,asia,65,0.8913752326638571,0.5384615384615384,0.47997127912669224,0.0017442640547430566,False
KEEP,liquidity_sweep,1h,unknown,ny,119,0.5120289105086642,0.42016806722689076,0.21513819769271605,0.003193344961760365,False
KEEP,liquidity_sweep,1d,range,asia,55,0.4612787517050627,0.4,0.1845115006820251,0.0014759157386287402,False
KEEP,liquidity_sweep,1d,trend,asia,113,0.43895095185952554,0.415929203539823,0.18257251979997965,0.0030323359720917753,False
KEEP,liquidity_sweep,1d,high_vol,asia,62,0.3483310212984671,0.3709677419354839,0.12921957241717327,0.0016637595599087616,False
KEEP,liquidity_sweep,15m,unknown,asia,163,0.16709492102372756,0.4539877300613497,0.07585904390034257,0.0043740775526633574,False
KEEP,liquidity_sweep,4h,high_vol,ny,205,0.10525183771777086,0.3902439024390244,0.0410738878898618,0.005501140480343486,False
KEEP,liquidity_sweep,4h,trend,ny,305,0.022337408560074455,0.3737704918032787,0.008349064183109796,0.00818462364148665,False
KEEP,liquidity_sweep,1h,trend,ny,1281,-0.06633293473695498,0.2615144418423107,-0.017347020403497206,0.034375419294243925,False
KEEP,liquidity_sweep,4h,range,ny,121,-0.056438999406067406,0.34710743801652894,-0.019590396488056456,0.0032470146249832283,False
KEEP,liquidity_sweep,1h,range,ny,1794,-0.09103293160415649,0.2525083612040134,-0.02298657637496259,0.04814168791090836,False
KEEP,liquidity_sweep,15m,high_vol,off,360,-0.06685475014114314,0.3638888888888889,-0.024327700745804866,0.00966053938011539,False
KEEP,liquidity_sweep,1h,trend,london,440,-0.10855742141998677,0.25681818181818183,-0.02787951959195115,0.011807325909029921,False
KEEP,liquidity_sweep,15m,trend,off,112,-0.09127013578567332,0.35714285714285715,-0.0325964770663119,0.0030055011404803433,False
KEEP,liquidity_sweep,1h,trend,off,164,-0.15901622355130224,0.23170731707317074,-0.036845222530179786,0.004400912384274789,False
KEEP,liquidity_sweep,1h,high_vol,london,393,-0.20697535433488629,0.23155216284987276,-0.04792559095286171,0.010546088823292634,False
KEEP,liquidity_sweep,1h,range,london,812,-0.2242142947145804,0.22413793103448276,-0.050254928125681816,0.02178988326848249,False
KEEP,liquidity_sweep,1h,range,off,185,-0.35336198556669873,0.17297297297297298,-0.06112207317910465,0.004964443848114853,False
KEEP,liquidity_sweep,1h,range,asia,909,-0.3293640198199117,0.19691969196919692,-0.06485826132867348,0.02439286193479136,False
KEEP,liquidity_sweep,4h,range,asia,146,-0.24344297106193588,0.2876712328767123,-0.07003153962055689,0.003917885415269019,False
KEEP,liquidity_sweep,1h,high_vol,ny,1266,-0.4245921836130292,0.18167456556082148,-0.07713760049841763,0.03397289682007246,False
KEEP,liquidity_sweep,4h,high_vol,asia,93,-0.30546558286336833,0.25806451612903225,-0.07882982783570795,0.0024956393398631424,False
KEEP,liquidity_sweep,15m,range,asia,6175,-0.25831887854628655,0.3102834008097166,-0.08015206012869393,0.16570508520059038,False
KEEP,liquidity_sweep,1h,trend,asia,513,-0.44271343564070764,0.18518518518518517,-0.081983969563094,0.013766268616664431,False
KEEP,liquidity_sweep,15m,range,london,4219,-0.27586729927472015,0.30433752073951176,-0.08395676991437324,0.11321615456863009,False
KEEP,liquidity_sweep,15m,high_vol,london,524,-0.2921329318736924,0.2900763358778626,-0.08474085046717794,0.014061451764390179,False
KEEP,liquidity_sweep,15m,unknown,ny,306,-0.29070379311351885,0.2973856209150327,-0.086451128017419,0.008211458473098081,False
KEEP,liquidity_sweep,15m,range,ny,6534,-0.29697574940897387,0.2926232017141108,-0.08690199462350139,0.17533878974909434,False
